VAEConv2d_v2_CausalDsprite_ber_shape2_scale5_ld3
latent_dim + gt_factor,unique_classes,ratio,alpha,mmds_mean,std_mmds,latent_dim_range,count,n_samples
0+X,"['X1', 'X2', 'X5']",0.931,0.001,0.029,0.014,15,94,100
0+X,"['X2', 'X5']",0.723,0.05,0.269,0.102,15,73,100
0+X,"['X2', 'X5']",0.673,0.1,0.35,0.094,15,68,100
0+X,"['X2', 'X5']",0.525,0.5,0.437,0.079,15,53,100
0+X,"['X2', 'X5']",0.376,1,0.388,0.078,15,38,100
0+X,"['X0', 'X4', 'X5', 'X7']",0.475,5,0.289,0.101,15,48,100
0+Y,"['Y1', 'Y5', 'Y7']",0.069,0.001,0.024,0.016,15,7,100
0+Y,"['Y0', 'Y1', 'Y4', 'Y5']",0.277,0.05,0.144,0.102,15,28,100
0+Y,"['Y1', 'Y5', 'Y6']",0.327,0.1,0.168,0.111,15,33,100
0+Y,"['Y1', 'Y2', 'Y5', 'Y6']",0.475,0.5,0.232,0.13,15,48,100
0+Y,"['Y1', 'Y2', 'Y5', 'Y6']",0.624,1,0.294,0.162,15,63,100
0+Y,"['Y0', 'Y1', 'Y2', 'Y5', 'Y7']",0.525,5,0.299,0.151,15,53,100
1+X,"['X4', 'X6', 'X7']",0.832,0.001,0.037,0.019,15,84,100
1+X,['X4'],0.05,0.05,0.22,0.009,15,5,100
1+X,[],0.0,0.1,nan,nan,15,0,100
1+X,[],0.0,0.5,nan,nan,15,0,100
1+X,[],0.0,1,nan,nan,15,0,100
1+X,['X7'],0.01,5,0.509,0.0,15,1,100
1+Y,"['Y2', 'Y6', 'Y7']",0.168,0.001,0.034,0.027,15,17,100
1+Y,"['Y2', 'Y4', 'Y6', 'Y7']",0.95,0.05,0.223,0.121,15,96,100
1+Y,"['Y2', 'Y3', 'Y4', 'Y6', 'Y7']",1.0,0.1,0.228,0.121,15,101,100
1+Y,"['Y3', 'Y4', 'Y6', 'Y7']",1.0,0.5,0.24,0.134,15,101,100
1+Y,"['Y3', 'Y4', 'Y5', 'Y6', 'Y7']",1.0,1,0.238,0.133,15,101,100
1+Y,"['Y3', 'Y4', 'Y5', 'Y6', 'Y7']",0.99,5,0.233,0.131,15,100,100
2+X,"['X1', 'X2', 'X5', 'X6', 'X7']",0.97,0.001,0.02,0.007,15,98,100
2+X,"['X1', 'X7']",0.851,0.05,0.24,0.049,15,86,100
2+X,"['X1', 'X7']",0.663,0.1,0.325,0.061,15,67,100
2+X,['X7'],0.446,0.5,0.424,0.118,15,45,100
2+X,"['X0', 'X5', 'X7']",0.475,1,0.396,0.137,15,48,100
2+X,"['X0', 'X1', 'X2', 'X5', 'X6', 'X7']",0.634,5,0.299,0.157,15,64,100
2+Y,"['Y0', 'Y1', 'Y7']",0.03,0.001,0.041,0.022,15,3,100
2+Y,"['Y1', 'Y2', 'Y3', 'Y5', 'Y6']",0.149,0.05,0.146,0.064,15,15,100
2+Y,"['Y1', 'Y2', 'Y5', 'Y6']",0.337,0.1,0.244,0.098,15,34,100
2+Y,"['Y0', 'Y1', 'Y5', 'Y7']",0.554,0.5,0.285,0.099,15,56,100
2+Y,"['Y1', 'Y5', 'Y6', 'Y7']",0.525,1,0.275,0.091,15,53,100
2+Y,['Y5'],0.366,5,0.292,0.063,15,37,100

Per dimension per factor winner
0+X,0.617
0+Y,0.383
1+X,0.149
1+Y,0.851
2+X,0.673
2+Y,0.327

Per dimension winner
0+X,0.617
1+Y,0.851
2+X,0.673
