VAEConv2d_v2_CausalDsprite_ber_shape2_scale5_ld10
latent_dim + gt_factor,ratio_recall,ratio,unique_classes,calsses_count,alpha,mmds_mean,std_mmds,latent_dim_range,count,n_samples
3+Y,0.6865,0.498,"['Y1', 'Y2', 'Y3', 'Y4', 'Y5', 'Y6', 'Y7']",7,0.75,0.226,0.131,15,100,200
3+Y,0.696,0.517,"['Y1', 'Y2', 'Y3', 'Y4', 'Y5', 'Y6', 'Y7']",7,1,0.231,0.128,15,104,200
3+Y,0.696,0.517,"['Y1', 'Y2', 'Y3', 'Y4', 'Y5', 'Y6', 'Y7']",7,1.5,0.233,0.123,15,104,200
3+Y,0.6935,0.512,"['Y1', 'Y2', 'Y3', 'Y4', 'Y5', 'Y6', 'Y7']",7,2,0.233,0.121,15,103,200
4+X,0.0,0.0,[],0,0.5,nan,nan,15,0,200
4+X,0.0,0.0,[],0,0.75,nan,nan,15,0,200
4+X,0.0,0.0,[],0,1,nan,nan,15,0,200
4+X,0.0,0.0,[],0,1.5,nan,nan,15,0,200
4+X,0.0,0.0,[],0,2,nan,nan,15,0,200
4+Y,0.625,1.0,"['Y1', 'Y2']",2,0.5,0.09,0.002,15,201,200
4+Y,0.5625,1.0,['Y2'],1,0.75,0.094,0.002,15,201,200
4+Y,0.5625,1.0,['Y2'],1,1,0.096,0.002,15,201,200
4+Y,0.5625,1.0,['Y2'],1,1.5,0.099,0.002,15,201,200
4+Y,0.5625,1.0,['Y2'],1,2,0.101,0.002,15,201,200
5+X,0.0,0.0,[],0,0.5,nan,nan,15,0,200
5+X,0.0,0.0,[],0,0.75,nan,nan,15,0,200
5+X,0.0,0.0,[],0,1,nan,nan,15,0,200
5+X,0.0,0.0,[],0,1.5,nan,nan,15,0,200
5+X,0.0,0.0,[],0,2,nan,nan,15,0,200
5+Y,0.625,1.0,"['Y1', 'Y2']",2,0.5,0.091,0.001,15,201,200
5+Y,0.5625,1.0,['Y2'],1,0.75,0.097,0.001,15,201,200
5+Y,0.5625,1.0,['Y2'],1,1,0.1,0.001,15,201,200
5+Y,0.5625,1.0,['Y2'],1,1.5,0.104,0.001,15,201,200
5+Y,0.5625,1.0,['Y2'],1,2,0.106,0.002,15,201,200
6+X,0.0,0.0,[],0,0.5,nan,nan,15,0,200
6+X,0.0,0.0,[],0,0.75,nan,nan,15,0,200
6+X,0.0,0.0,[],0,1,nan,nan,15,0,200
6+X,0.0,0.0,[],0,1.5,nan,nan,15,0,200
6+X,0.0,0.0,[],0,2,nan,nan,15,0,200
6+Y,0.5625,1.0,['Y2'],1,0.5,0.089,0.003,15,201,200
6+Y,0.5625,1.0,['Y2'],1,0.75,0.094,0.002,15,201,200
6+Y,0.5625,1.0,['Y2'],1,1,0.097,0.002,15,201,200
6+Y,0.5625,1.0,['Y2'],1,1.5,0.1,0.002,15,201,200
6+Y,0.5625,1.0,['Y2'],1,2,0.102,0.002,15,201,200
7+X,0.503,0.756,"['X2', 'X7']",2,0.5,0.295,0.135,15,152,200
7+X,0.498,0.746,"['X2', 'X7']",2,0.75,0.296,0.148,15,150,200
7+X,0.5005,0.751,"['X2', 'X7']",2,1,0.292,0.151,15,151,200
7+X,0.5055000000000001,0.761,"['X2', 'X7']",2,1.5,0.286,0.151,15,153,200
7+X,0.513,0.776,"['X2', 'X7']",2,2,0.281,0.151,15,156,200
7+Y,0.4345,0.244,"['Y0', 'Y1', 'Y2', 'Y3', 'Y7']",5,0.5,0.129,0.063,15,49,200
7+Y,0.4395,0.254,"['Y0', 'Y1', 'Y2', 'Y3', 'Y7']",5,0.75,0.137,0.064,15,51,200
7+Y,0.437,0.249,"['Y0', 'Y1', 'Y2', 'Y3', 'Y7']",5,1,0.137,0.058,15,50,200
7+Y,0.3695,0.239,"['Y0', 'Y1', 'Y2', 'Y3']",4,1.5,0.134,0.047,15,48,200
7+Y,0.362,0.224,"['Y0', 'Y1', 'Y2', 'Y3']",4,2,0.13,0.038,15,45,200
8+X,0.0,0.0,[],0,0.5,nan,nan,15,0,200
8+X,0.0,0.0,[],0,0.75,nan,nan,15,0,200
8+X,0.0,0.0,[],0,1,nan,nan,15,0,200
8+X,0.0,0.0,[],0,1.5,nan,nan,15,0,200
8+X,0.0,0.0,[],0,2,nan,nan,15,0,200
8+Y,0.6875,1.0,"['Y2', 'Y5', 'Y6']",3,0.5,0.095,0.001,15,201,200
8+Y,0.625,1.0,"['Y2', 'Y5']",2,0.75,0.1,0.001,15,201,200
8+Y,0.625,1.0,"['Y2', 'Y5']",2,1,0.103,0.001,15,201,200
8+Y,0.625,1.0,"['Y2', 'Y5']",2,1.5,0.105,0.002,15,201,200
8+Y,0.5625,1.0,['Y2'],1,2,0.106,0.002,15,201,200
9+X,0.0,0.0,[],0,0.5,nan,nan,15,0,200
9+X,0.0,0.0,[],0,0.75,nan,nan,15,0,200
9+X,0.0,0.0,[],0,1,nan,nan,15,0,200
9+X,0.0,0.0,[],0,1.5,nan,nan,15,0,200
9+X,0.0,0.0,[],0,2,nan,nan,15,0,200
9+Y,0.625,1.0,"['Y1', 'Y2']",2,0.5,0.089,0.001,15,201,200
9+Y,0.625,1.0,"['Y1', 'Y2']",2,0.75,0.096,0.002,15,201,200
9+Y,0.625,1.0,"['Y1', 'Y2']",2,1,0.1,0.002,15,201,200
9+Y,0.5625,1.0,['Y2'],1,1.5,0.103,0.002,15,201,200
9+Y,0.5625,1.0,['Y2'],1,2,0.106,0.002,15,201,200

Per dimension per factor winner
latent_dim + gt_factor,ratio_recall,ratio
0+X,0.0,0.0
0+Y,0.675,1.0
1+X,0.688,0.8
1+Y,0.388,0.2
2+X,0.0,0.0
2+Y,0.588,1.0
3+X,0.388,0.526
3+Y,0.662,0.474
4+X,0.0,0.0
4+Y,0.575,1.0
5+X,0.0,0.0
5+Y,0.575,1.0
6+X,0.0,0.0
6+Y,0.562,1.0
7+X,0.504,0.758
7+Y,0.408,0.242
8+X,0.0,0.0
8+Y,0.625,1.0
9+X,0.0,0.0
9+Y,0.6,1.0

Per dimension winner: ratio_recall
latent_dim + gt_factor,ratio_recall
0+Y,0.675
1+X,0.688
2+Y,0.588
3+Y,0.662
4+Y,0.575
5+Y,0.575
6+Y,0.562
7+X,0.504
8+Y,0.625
9+Y,0.6

Per dimension winner: ratio
latent_dim + gt_factor,ratio
0+Y,1.0
1+X,0.8
2+Y,1.0
3+X,0.526
4+Y,1.0
5+Y,1.0
6+Y,1.0
7+X,0.758
8+Y,1.0
9+Y,1.0
