VAEConv2d_v2_CausalDsprite_ber_shape2_scale5_ld10
latent_dim + gt_factor,ratio_recall,ratio,unique_classes,calsses_count,alpha,mmds_mean,std_mmds,latent_dim_range,count,n_samples
0+X,0.0,0.0,[],0,0.5,nan,nan,15,0,200
0+X,0.0,0.0,[],0,0.75,nan,nan,15,0,200
0+X,0.0,0.0,[],0,1,nan,nan,15,0,200
0+X,0.0,0.0,[],0,1.5,nan,nan,15,0,200
0+X,0.0,0.0,[],0,2,nan,nan,15,0,200
0+Y,0.75,1.0,"['Y0', 'Y1', 'Y2', 'Y6']",4,0.5,0.089,0.002,15,201,200
0+Y,0.6875,1.0,"['Y0', 'Y2', 'Y6']",3,0.75,0.096,0.001,15,201,200
0+Y,0.6875,1.0,"['Y0', 'Y2', 'Y6']",3,1,0.1,0.001,15,201,200
0+Y,0.625,1.0,"['Y0', 'Y2']",2,1.5,0.104,0.001,15,201,200
0+Y,0.625,1.0,"['Y0', 'Y2']",2,2,0.107,0.001,15,201,200
1+X,0.583,0.791,"['X0', 'X1', 'X6']",3,0.5,0.242,0.094,15,159,200
1+X,0.5705,0.766,"['X0', 'X1', 'X6']",3,0.75,0.237,0.1,15,154,200
1+X,0.6455,0.791,"['X0', 'X1', 'X2', 'X6']",4,1,0.228,0.099,15,159,200
1+X,0.773,0.796,"['X0', 'X1', 'X2', 'X3', 'X5', 'X6']",6,1.5,0.214,0.095,15,160,200
1+X,0.8654999999999999,0.856,"['X0', 'X1', 'X2', 'X3', 'X4', 'X5', 'X6']",7,2,0.201,0.091,15,172,200
1+Y,0.417,0.209,"['Y0', 'Y1', 'Y2', 'Y4', 'Y5']",5,0.5,0.181,0.063,15,42,200
1+Y,0.4295,0.234,"['Y0', 'Y1', 'Y2', 'Y4', 'Y5']",5,0.75,0.192,0.067,15,47,200
1+Y,0.417,0.209,"['Y0', 'Y1', 'Y2', 'Y4', 'Y5']",5,1,0.194,0.064,15,42,200
1+Y,0.4145,0.204,"['Y0', 'Y1', 'Y2', 'Y4', 'Y5']",5,1.5,0.193,0.06,15,41,200
1+Y,0.2595,0.144,"['Y2', 'Y4', 'Y5']",3,2,0.209,0.055,15,29,200
2+X,0.0,0.0,[],0,0.5,nan,nan,15,0,200
2+X,0.0,0.0,[],0,0.75,nan,nan,15,0,200
2+X,0.0,0.0,[],0,1,nan,nan,15,0,200
2+X,0.0,0.0,[],0,1.5,nan,nan,15,0,200
2+X,0.0,0.0,[],0,2,nan,nan,15,0,200
2+Y,0.625,1.0,"['Y0', 'Y2']",2,0.5,0.086,0.002,15,201,200
2+Y,0.625,1.0,"['Y0', 'Y2']",2,0.75,0.092,0.002,15,201,200
2+Y,0.5625,1.0,['Y2'],1,1,0.095,0.002,15,201,200
2+Y,0.5625,1.0,['Y2'],1,1.5,0.099,0.002,15,201,200
2+Y,0.5625,1.0,['Y2'],1,2,0.101,0.002,15,201,200
3+X,0.461,0.672,"['X3', 'X5']",2,0.5,0.4,0.072,15,135,200
3+X,0.376,0.502,"['X3', 'X5']",2,0.75,0.407,0.092,15,101,200
3+X,0.3665,0.483,"['X3', 'X5']",2,1,0.41,0.102,15,97,200
3+X,0.3665,0.483,"['X3', 'X5']",2,1.5,0.409,0.117,15,97,200
3+X,0.369,0.488,"['X3', 'X5']",2,2,0.407,0.126,15,98,200
3+Y,0.539,0.328,"['Y1', 'Y2', 'Y3', 'Y4', 'Y5', 'Y6']",6,0.5,0.139,0.075,15,66,200
