VAE_CausalDsprite_ber_shape2_scale5_ld3
latent_dim + gt_factor,unique_classes,ratio,alpha,mmds_mean,std_mmds,latent_dim_range,count,n_samples
0+X,"['X0', 'X5']",0.22,0.05,0.138,0.05,3,11,49
0+X,['X0'],0.16,0.1,0.103,0.013,3,8,49
0+X,['X0'],0.2,0.5,0.087,0.018,3,10,49
0+X,['X0'],0.22,1,0.076,0.018,3,11,49
0+Y,"['Y1', 'Y2', 'Y3', 'Y4', 'Y5']",0.78,0.05,0.108,0.052,3,39,49
0+Y,"['Y0', 'Y1', 'Y2', 'Y4', 'Y5', 'Y7']",0.84,0.1,0.12,0.049,3,42,49
0+Y,"['Y2', 'Y3', 'Y4', 'Y5', 'Y7']",0.8,0.5,0.124,0.035,3,40,49
0+Y,"['Y2', 'Y3', 'Y5', 'Y7']",0.78,1,0.126,0.029,3,39,49
1+X,"['X2', 'X5']",0.12,0.05,0.201,0.011,3,6,49
1+X,[],0.0,0.1,nan,nan,3,0,49
1+X,[],0.0,0.5,nan,nan,3,0,49
1+X,[],0.0,1,nan,nan,3,0,49
1+Y,"['Y0', 'Y1', 'Y3', 'Y5']",0.88,0.05,0.105,0.054,3,44,49
1+Y,"['Y1', 'Y3', 'Y5', 'Y6']",1.0,0.1,0.119,0.057,3,50,49
1+Y,"['Y1', 'Y2', 'Y3', 'Y5', 'Y6']",1.0,0.5,0.13,0.035,3,50,49
1+Y,"['Y1', 'Y2', 'Y5', 'Y6']",1.0,1,0.137,0.026,3,50,49
2+X,['X7'],0.28,0.05,0.084,0.028,3,14,49
2+X,"['X5', 'X6', 'X7']",0.38,0.1,0.096,0.042,3,19,49
2+X,"['X5', 'X6', 'X7']",0.44,0.5,0.086,0.043,3,22,49
2+X,"['X5', 'X6', 'X7']",0.48,1,0.082,0.043,3,24,49
2+Y,"['Y0', 'Y1', 'Y3', 'Y4', 'Y5', 'Y7']",0.72,0.05,0.137,0.037,3,36,49
2+Y,"['Y3', 'Y4', 'Y5']",0.62,0.1,0.127,0.033,3,31,49
2+Y,"['Y1', 'Y2', 'Y3', 'Y5']",0.56,0.5,0.125,0.019,3,28,49
2+Y,"['Y2', 'Y3', 'Y5']",0.52,1,0.124,0.011,3,26,49
0+Y,0.8
1+Y,0.97
2+Y,0.605
