VAEConv2d_v2_CausalDsprite_ber_shape2_scale5_ld2
latent_dim + gt_factor,ratio_recall,ratio,unique_classes,calsses_count,alpha,mmds_mean,std_mmds,latent_dim_range,count,n_samples
0+X,0.1245,0.124,['X1'],1,0.5,0.741,0.013,15,25,200
0+X,0.11699999999999999,0.109,['X1'],1,0.75,0.745,0.009,15,22,200
0+X,0.1245,0.124,['X1'],1,1,0.741,0.013,15,25,200
0+X,0.14200000000000002,0.159,['X1'],1,1.5,0.731,0.018,15,32,200
0+X,0.14700000000000002,0.169,['X1'],1,2,0.727,0.019,15,34,200
0+Y,0.938,0.876,"['Y0', 'Y1', 'Y2', 'Y3', 'Y4', 'Y5', 'Y6', 'Y7']",8,0.5,0.285,0.177,15,176,200
0+Y,0.9455,0.891,"['Y0', 'Y1', 'Y2', 'Y3', 'Y4', 'Y5', 'Y6', 'Y7']",8,0.75,0.293,0.183,15,179,200
0+Y,0.938,0.876,"['Y0', 'Y1', 'Y2', 'Y3', 'Y4', 'Y5', 'Y6', 'Y7']",8,1,0.287,0.175,15,176,200
0+Y,0.9205,0.841,"['Y0', 'Y1', 'Y2', 'Y3', 'Y4', 'Y5', 'Y6', 'Y7']",8,1.5,0.271,0.155,15,169,200
0+Y,0.9155,0.831,"['Y0', 'Y1', 'Y2', 'Y3', 'Y4', 'Y5', 'Y6', 'Y7']",8,2,0.266,0.148,15,167,200
1+X,0.7975,0.97,"['X0', 'X1', 'X2', 'X4', 'X7']",5,0.5,0.298,0.17,15,195,200
1+X,0.8,0.975,"['X0', 'X1', 'X2', 'X4', 'X7']",5,0.75,0.318,0.191,15,196,200
1+X,0.8400000000000001,0.93,"['X0', 'X1', 'X2', 'X4', 'X5', 'X7']",6,1,0.313,0.2,15,187,200
1+X,0.8505,0.826,"['X0', 'X1', 'X2', 'X4', 'X5', 'X6', 'X7']",7,1.5,0.274,0.185,15,166,200
1+X,0.7705,0.791,"['X0', 'X1', 'X2', 'X4', 'X6', 'X7']",6,2,0.258,0.178,15,159,200
1+Y,0.14,0.03,"['Y0', 'Y7']",2,0.5,0.173,0.021,15,6,200
1+Y,0.075,0.025,['Y0'],1,0.75,0.169,0.014,15,5,200
1+Y,0.16,0.07,"['Y0', 'Y4']",2,1,0.455,0.184,15,14,200
1+Y,0.212,0.174,"['Y0', 'Y4']",2,1.5,0.586,0.106,15,35,200
1+Y,0.22949999999999998,0.209,"['Y0', 'Y4']",2,2,0.594,0.073,15,42,200

Per dimension per factor winner
latent_dim + gt_factor,ratio_recall,ratio
0+X,0.131,0.137
0+Y,0.932,0.863
1+X,0.812,0.898
1+Y,0.163,0.102

Per dimension winner: ratio_recall
latent_dim + gt_factor,ratio_recall
0+Y,0.932
1+X,0.812

Per dimension winner: ratio
latent_dim + gt_factor,ratio
0+Y,0.863
1+X,0.898
