VAEConv2d_v2_CausalDsprite_ber_shape2_scale5_ld4
latent_dim + gt_factor,ratio_recall,ratio,unique_classes,calsses_count,alpha,mmds_mean,std_mmds,latent_dim_range,count,n_samples
0+X,0.0,0.0,[],0,0.5,nan,nan,15,0,200
0+X,0.0,0.0,[],0,0.75,nan,nan,15,0,200
0+X,0.0,0.0,[],0,1,nan,nan,15,0,200
0+X,0.0,0.0,[],0,1.5,nan,nan,15,0,200
0+X,0.0,0.0,[],0,2,nan,nan,15,0,200
0+Y,0.8125,1.0,"['Y2', 'Y4', 'Y5', 'Y6', 'Y7']",5,0.5,0.214,0.107,15,201,200
0+Y,0.8125,1.0,"['Y2', 'Y4', 'Y5', 'Y6', 'Y7']",5,0.75,0.211,0.105,15,201,200
0+Y,0.8125,1.0,"['Y2', 'Y4', 'Y5', 'Y6', 'Y7']",5,1,0.209,0.104,15,201,200
0+Y,0.75,1.0,"['Y2', 'Y4', 'Y5', 'Y7']",4,1.5,0.206,0.104,15,201,200
0+Y,0.75,1.0,"['Y2', 'Y4', 'Y5', 'Y7']",4,2,0.204,0.104,15,201,200
1+X,0.319,0.388,"['X1', 'X5']",2,0.5,0.255,0.092,15,78,200
1+X,0.3715,0.368,"['X0', 'X1', 'X5']",3,0.75,0.273,0.114,15,74,200
1+X,0.3165,0.383,"['X0', 'X5']",2,1,0.273,0.117,15,77,200
1+X,0.3265,0.403,"['X0', 'X5']",2,1.5,0.261,0.117,15,81,200
1+X,0.33899999999999997,0.428,"['X0', 'X5']",2,2,0.25,0.115,15,86,200
1+Y,0.556,0.612,"['Y2', 'Y4', 'Y5', 'Y7']",4,0.5,0.19,0.102,15,123,200
1+Y,0.5660000000000001,0.632,"['Y2', 'Y4', 'Y5', 'Y7']",4,0.75,0.178,0.072,15,127,200
1+Y,0.496,0.617,"['Y2', 'Y4', 'Y5']",3,1,0.17,0.056,15,124,200
1+Y,0.4235,0.597,"['Y2', 'Y5']",2,1.5,0.168,0.05,15,120,200
1+Y,0.411,0.572,"['Y2', 'Y5']",2,2,0.166,0.046,15,115,200
2+X,0.1895,0.254,['X5'],1,0.5,0.572,0.079,15,51,200
2+X,0.177,0.229,['X5'],1,0.75,0.639,0.074,15,46,200
2+X,0.16699999999999998,0.209,['X5'],1,1,0.687,0.065,15,42,200
2+X,0.14200000000000002,0.159,['X5'],1,1.5,0.761,0.037,15,32,200
2+X,0.065,0.005,['X1'],1,2,0.112,0.0,15,1,200
2+Y,0.6855,0.746,"['Y0', 'Y1', 'Y2', 'Y3', 'Y4']",5,0.5,0.241,0.13,15,150,200
2+Y,0.698,0.771,"['Y0', 'Y1', 'Y2', 'Y4', 'Y5']",5,0.75,0.246,0.131,15,155,200
2+Y,0.708,0.791,"['Y0', 'Y1', 'Y2', 'Y4', 'Y5']",5,1,0.251,0.134,15,159,200
2+Y,0.733,0.841,"['Y0', 'Y1', 'Y2', 'Y4', 'Y5']",5,1.5,0.27,0.154,15,169,200
2+Y,0.81,0.995,"['Y0', 'Y1', 'Y2', 'Y4', 'Y5']",5,2,0.351,0.234,15,200,200
3+X,0.548,0.846,"['X1', 'X7']",2,0.5,0.282,0.163,15,170,200
3+X,0.5529999999999999,0.856,"['X1', 'X7']",2,0.75,0.288,0.163,15,172,200
3+X,0.633,0.891,"['X1', 'X2', 'X7']",3,1,0.284,0.161,15,179,200
3+X,0.7825,0.94,"['X1', 'X2', 'X5', 'X6', 'X7']",5,1.5,0.276,0.16,15,189,200
3+X,0.7975,0.97,"['X1', 'X2', 'X5', 'X6', 'X7']",5,2,0.271,0.16,15,195,200
3+Y,0.452,0.154,"['Y0', 'Y1', 'Y2', 'Y4', 'Y6', 'Y7']",6,0.5,0.149,0.02,15,31,200
3+Y,0.447,0.144,"['Y0', 'Y1', 'Y2', 'Y4', 'Y6', 'Y7']",6,0.75,0.146,0.014,15,29,200
3+Y,0.4295,0.109,"['Y0', 'Y1', 'Y2', 'Y4', 'Y6', 'Y7']",6,1,0.139,0.008,15,22,200
3+Y,0.405,0.06,"['Y0', 'Y1', 'Y2', 'Y4', 'Y6', 'Y7']",6,1.5,0.134,0.006,15,12,200
3+Y,0.14,0.03,"['Y4', 'Y7']",2,2,0.13,0.007,15,6,200

Per dimension per factor winner
latent_dim + gt_factor,ratio_recall,ratio
0+X,0.0,0.0
0+Y,0.788,1.0
1+X,0.334,0.394
1+Y,0.491,0.606
2+X,0.148,0.171
2+Y,0.727,0.829
3+X,0.663,0.901
3+Y,0.375,0.099

Per dimension winner: ratio_recall
latent_dim + gt_factor,ratio_recall
0+Y,0.788
1+Y,0.491
2+Y,0.727
3+X,0.663

Per dimension winner: ratio
latent_dim + gt_factor,ratio
0+Y,1.0
1+Y,0.606
2+Y,0.829
3+X,0.901
