VAEConv2d_v2_CausalDsprite_ber_shape2_scale5_ld6
latent_dim + gt_factor,unique_classes,ratio,alpha,mmds_mean,std_mmds,latent_dim_range,count,n_samples
5+Y,"['Y0', 'Y2', 'Y5', 'Y6']",0.287,0.05,0.115,0.073,15,29,100
5+Y,"['Y2', 'Y3', 'Y5', 'Y6']",0.297,0.1,0.123,0.067,15,30,100
5+Y,"['Y2', 'Y3', 'Y4', 'Y5', 'Y6']",0.347,0.5,0.152,0.075,15,35,100
5+Y,"['Y2', 'Y4', 'Y5', 'Y6', 'Y7']",0.376,1,0.166,0.077,15,38,100
5+Y,"['Y2', 'Y6', 'Y7']",0.96,5,0.385,0.185,15,97,100

Per dimension per factor winner
0+X,0.563
0+Y,0.437
1+X,0.757
1+Y,0.243
2+X,0.335
2+Y,0.665
3+X,0.167
3+Y,0.833
4+X,0.15
4+Y,0.85
5+X,0.599
5+Y,0.401

Per dimension winner
0+X,0.563
1+X,0.757
2+Y,0.665
3+Y,0.833
4+Y,0.85
5+X,0.599
