VAEConv2d_v2_CausalDsprite_ber_shape2_scale5_ld6
latent_dim + gt_factor,unique_classes,ratio,alpha,mmds_mean,std_mmds,latent_dim_range,count,n_samples
0+X,"['X2', 'X3', 'X6', 'X7']",0.931,0.001,0.019,0.014,15,94,100
0+X,"['X2', 'X7']",0.812,0.05,0.172,0.069,15,82,100
0+X,"['X2', 'X7']",0.683,0.1,0.27,0.068,15,69,100
0+X,"['X2', 'X6']",0.347,0.5,0.51,0.117,15,35,100
0+X,"['X2', 'X5', 'X6', 'X7']",0.386,1,0.53,0.191,15,39,100
0+X,"['X2', 'X5', 'X6', 'X7']",0.218,5,0.154,0.047,15,22,100
0+Y,"['Y0', 'Y1', 'Y2', 'Y5']",0.069,0.001,0.024,0.014,15,7,100
0+Y,"['Y2', 'Y4', 'Y5']",0.188,0.05,0.108,0.041,15,19,100
0+Y,"['Y2', 'Y3', 'Y5']",0.317,0.1,0.181,0.095,15,32,100
0+Y,"['Y2', 'Y3', 'Y5', 'Y6', 'Y7']",0.653,0.5,0.267,0.113,15,66,100
0+Y,"['Y2', 'Y3', 'Y7']",0.614,1,0.26,0.109,15,62,100
0+Y,"['Y2', 'Y3', 'Y7']",0.782,5,0.414,0.223,15,79,100
1+X,"['X1', 'X2', 'X5']",0.941,0.001,0.015,0.01,15,95,100
1+X,"['X1', 'X5']",0.861,0.05,0.142,0.046,15,87,100
1+X,"['X1', 'X5']",0.752,0.1,0.223,0.032,15,76,100
1+X,"['X1', 'X5']",0.624,0.5,0.443,0.172,15,63,100
1+X,"['X1', 'X5']",0.614,1,0.488,0.232,15,62,100
1+X,"['X0', 'X1', 'X2', 'X5']",0.752,5,0.446,0.309,15,76,100
1+Y,"['Y0', 'Y4', 'Y7']",0.059,0.001,0.023,0.017,15,6,100
1+Y,"['Y0', 'Y1', 'Y4', 'Y5', 'Y6']",0.139,0.05,0.107,0.045,15,14,100
1+Y,"['Y0', 'Y1', 'Y4', 'Y5']",0.248,0.1,0.173,0.081,15,25,100
1+Y,"['Y0', 'Y1', 'Y2', 'Y4', 'Y5']",0.376,0.5,0.197,0.069,15,38,100
1+Y,"['Y0', 'Y1', 'Y2', 'Y4']",0.386,1,0.191,0.056,15,39,100
1+Y,"['Y0', 'Y2', 'Y4']",0.248,5,0.198,0.026,15,25,100
2+X,"['X1', 'X2', 'X5', 'X6']",0.861,0.001,0.031,0.012,15,87,100
2+X,['X6'],0.297,0.05,0.295,0.004,15,30,100
2+X,['X6'],0.228,0.1,0.355,0.008,15,23,100
2+X,['X6'],0.149,0.5,0.435,0.016,15,15,100
2+X,"['X0', 'X6']",0.099,1,0.506,0.018,15,10,100
2+X,"['X0', 'X1', 'X5']",0.376,5,0.318,0.16,15,38,100
2+Y,"['Y0', 'Y1', 'Y5', 'Y6']",0.139,0.001,0.024,0.017,15,14,100
2+Y,"['Y0', 'Y2', 'Y5', 'Y6']",0.703,0.05,0.228,0.116,15,71,100
2+Y,"['Y1', 'Y2', 'Y5', 'Y6']",0.772,0.1,0.239,0.117,15,78,100
2+Y,"['Y1', 'Y2', 'Y3', 'Y5', 'Y6']",0.851,0.5,0.282,0.13,15,86,100
2+Y,"['Y1', 'Y2', 'Y5', 'Y6', 'Y7']",0.901,1,0.298,0.131,15,91,100
2+Y,"['Y1', 'Y2', 'Y4', 'Y5', 'Y7']",0.624,5,0.304,0.116,15,63,100
3+X,[],0.0,0.001,nan,nan,15,0,100
3+X,[],0.0,0.05,nan,nan,15,0,100
3+X,[],0.0,0.1,nan,nan,15,0,100
3+X,[],0.0,0.5,nan,nan,15,0,100
3+X,[],0.0,1,nan,nan,15,0,100
3+X,['X5'],1.0,5,0.102,0.002,15,101,100
3+Y,"['Y2', 'Y3']",1.0,0.001,0.007,0.0,15,101,100
3+Y,['Y6'],1.0,0.05,0.027,0.001,15,101,100
3+Y,['Y5'],1.0,0.1,0.048,0.002,15,101,100
3+Y,['Y5'],1.0,0.5,0.084,0.001,15,101,100
3+Y,['Y5'],1.0,1,0.097,0.001,15,101,100
3+Y,[],0.0,5,nan,nan,15,0,100
4+X,[],0.0,0.001,nan,nan,15,0,100
4+X,[],0.0,0.05,nan,nan,15,0,100
4+X,[],0.0,0.1,nan,nan,15,0,100
4+X,[],0.0,0.5,nan,nan,15,0,100
4+X,[],0.0,1,nan,nan,15,0,100
4+X,['X5'],0.901,5,0.11,0.002,15,91,100
4+Y,['Y1'],1.0,0.001,0.007,0.0,15,101,100
4+Y,"['Y2', 'Y5', 'Y6']",1.0,0.05,0.033,0.001,15,101,100
4+Y,"['Y2', 'Y5']",1.0,0.1,0.057,0.001,15,101,100
4+Y,"['Y2', 'Y5']",1.0,0.5,0.094,0.001,15,101,100
4+Y,"['Y2', 'Y5']",1.0,1,0.102,0.001,15,101,100
4+Y,['Y2'],0.099,5,0.111,0.001,15,10,100
5+X,"['X1', 'X2', 'X5']",0.861,0.001,0.033,0.01,15,87,100
5+X,"['X1', 'X5']",0.713,0.05,0.204,0.046,15,72,100
5+X,"['X1', 'X5']",0.703,0.1,0.278,0.056,15,71,100
5+X,"['X1', 'X5']",0.653,0.5,0.407,0.082,15,66,100
5+X,"['X1', 'X5']",0.624,1,0.461,0.091,15,63,100
5+X,['X5'],0.04,5,0.164,0.099,15,4,100
5+Y,"['Y0', 'Y1', 'Y2', 'Y5']",0.139,0.001,0.021,0.015,15,14,100
