VAE_CausalDsprite_ber_shape2_scale5_ld4
latent_dim + gt_factor,unique_classes,ratio,alpha,mmds_mean,std_mmds,latent_dim_range,count,n_samples
0+X,"['X1', 'X5', 'X6']",1.0,0.05,0.043,0.014,3,50,49
0+X,"['X1', 'X3', 'X5']",1.0,0.1,0.063,0.015,3,50,49
0+X,"['X1', 'X3', 'X4', 'X5', 'X6']",1.0,0.5,0.098,0.019,3,50,49
0+X,"['X1', 'X3', 'X4', 'X5', 'X6']",1.0,1,0.108,0.018,3,50,49
0+Y,[],0.0,0.05,nan,nan,3,0,49
0+Y,[],0.0,0.1,nan,nan,3,0,49
0+Y,[],0.0,0.5,nan,nan,3,0,49
0+Y,[],0.0,1,nan,nan,3,0,49
1+X,"['X1', 'X3', 'X4', 'X5', 'X6']",1.0,0.05,0.067,0.021,3,50,49
1+X,"['X1', 'X3', 'X4', 'X5', 'X6']",1.0,0.1,0.073,0.016,3,50,49
1+X,"['X1', 'X3', 'X4', 'X5', 'X6']",1.0,0.5,0.091,0.009,3,50,49
1+X,"['X1', 'X3', 'X4', 'X5', 'X6']",1.0,1,0.101,0.008,3,50,49
1+Y,[],0.0,0.05,nan,nan,3,0,49
1+Y,[],0.0,0.1,nan,nan,3,0,49
1+Y,[],0.0,0.5,nan,nan,3,0,49
1+Y,[],0.0,1,nan,nan,3,0,49
2+X,"['X2', 'X3', 'X4', 'X5', 'X6']",1.0,0.05,0.085,0.019,3,50,49
2+X,"['X0', 'X2', 'X4', 'X5', 'X6']",1.0,0.1,0.094,0.014,3,50,49
2+X,"['X0', 'X2', 'X4', 'X5', 'X6', 'X7']",0.94,0.5,0.111,0.013,3,47,49
2+X,"['X4', 'X5', 'X7']",0.88,1,0.116,0.011,3,44,49
2+Y,[],0.0,0.05,nan,nan,3,0,49
2+Y,[],0.0,0.1,nan,nan,3,0,49
2+Y,['Y0'],0.06,0.5,0.142,0.004,3,3,49
2+Y,['Y0'],0.12,1,0.124,0.006,3,6,49
3+X,"['X0', 'X1', 'X3', 'X4', 'X5']",1.0,0.05,0.084,0.036,3,50,49
3+X,"['X1', 'X3', 'X4', 'X5']",1.0,0.1,0.089,0.032,3,50,49
3+X,"['X1', 'X2', 'X3', 'X5']",1.0,0.5,0.104,0.028,3,50,49
3+X,"['X1', 'X2', 'X5', 'X6']",1.0,1,0.11,0.024,3,50,49
3+Y,[],0.0,0.05,nan,nan,3,0,49
3+Y,[],0.0,0.1,nan,nan,3,0,49
3+Y,[],0.0,0.5,nan,nan,3,0,49
3+Y,[],0.0,1,nan,nan,3,0,49

Per dimension per factor winner
0+X,1.0

Per dimension per factor winner
0+Y,0.0

Per dimension per factor winner
1+X,1.0

Per dimension per factor winner
1+Y,0.0

Per dimension per factor winner
2+X,0.955

Per dimension per factor winner
2+Y,0.045

Per dimension per factor winner
3+X,1.0

Per dimension per factor winner
3+Y,0.0

Per dimension winner
0+X,1.0

Per dimension winner
1+X,1.0

Per dimension winner
2+X,0.955

Per dimension winner
3+X,1.0
