VAEConv2d_v2_CausalDsprite_ber_shape2_scale5_ld10
latent_dim + gt_factor,unique_classes,ratio,alpha,mmds_mean,std_mmds,latent_dim_range,count,n_samples
0+X,[],0.0,0.001,nan,nan,15,0,100
0+X,[],0.0,0.05,nan,nan,15,0,100
0+X,[],0.0,0.1,nan,nan,15,0,100
0+X,[],0.0,0.5,nan,nan,15,0,100
0+X,[],0.0,1,nan,nan,15,0,100
0+X,['X6'],1.0,5,0.105,0.001,15,101,100
0+Y,"['Y1', 'Y3']",1.0,0.001,0.006,0.0,15,101,100
0+Y,"['Y1', 'Y3']",1.0,0.05,0.018,0.001,15,101,100
0+Y,"['Y1', 'Y3']",1.0,0.1,0.045,0.001,15,101,100
0+Y,"['Y0', 'Y1', 'Y2', 'Y6']",1.0,0.5,0.091,0.002,15,101,100
0+Y,"['Y0', 'Y2', 'Y6']",1.0,1,0.102,0.002,15,101,100
0+Y,[],0.0,5,nan,nan,15,0,100
1+X,"['X0', 'X1', 'X2', 'X5', 'X6']",0.98,0.001,0.014,0.008,15,99,100
1+X,"['X0', 'X1', 'X6']",0.871,0.05,0.093,0.045,15,88,100
1+X,"['X0', 'X1', 'X6']",0.851,0.1,0.158,0.047,15,86,100
1+X,"['X0', 'X1', 'X6']",0.822,0.5,0.265,0.11,15,83,100
1+X,"['X0', 'X1', 'X2', 'X6']",0.861,1,0.246,0.111,15,87,100
1+X,"['X0', 'X1', 'X2', 'X3', 'X4', 'X5', 'X6']",0.99,5,0.195,0.091,15,100,100
1+Y,"['Y2', 'Y5']",0.02,0.001,0.027,0.001,15,2,100
1+Y,"['Y0', 'Y1', 'Y4', 'Y5', 'Y7']",0.129,0.05,0.158,0.049,15,13,100
1+Y,"['Y0', 'Y3', 'Y4', 'Y5', 'Y6', 'Y7']",0.149,0.1,0.16,0.038,15,15,100
1+Y,"['Y0', 'Y1', 'Y3', 'Y5']",0.178,0.5,0.157,0.033,15,18,100
1+Y,"['Y0', 'Y1', 'Y3', 'Y5']",0.139,1,0.16,0.029,15,14,100
1+Y,['Y2'],0.01,5,0.282,0.0,15,1,100
2+X,[],0.0,0.001,nan,nan,15,0,100
2+X,[],0.0,0.05,nan,nan,15,0,100
2+X,[],0.0,0.1,nan,nan,15,0,100
2+X,[],0.0,0.5,nan,nan,15,0,100
2+X,[],0.0,1,nan,nan,15,0,100
2+X,"['X2', 'X4', 'X6']",0.248,5,0.11,0.001,15,25,100
2+Y,"['Y3', 'Y5']",1.0,0.001,0.008,0.001,15,101,100
2+Y,"['Y2', 'Y3']",1.0,0.05,0.02,0.001,15,101,100
2+Y,"['Y1', 'Y2', 'Y3']",1.0,0.1,0.045,0.001,15,101,100
2+Y,"['Y0', 'Y2', 'Y3']",1.0,0.5,0.089,0.001,15,101,100
2+Y,"['Y0', 'Y2', 'Y3']",1.0,1,0.099,0.001,15,101,100
2+Y,['Y2'],0.752,5,0.108,0.001,15,76,100
3+X,"['X3', 'X4', 'X5']",0.891,0.001,0.019,0.009,15,90,100
3+X,"['X3', 'X5']",0.693,0.05,0.276,0.067,15,70,100
3+X,"['X3', 'X5']",0.683,0.1,0.369,0.062,15,69,100
3+X,"['X3', 'X5']",0.644,0.5,0.448,0.069,15,65,100
3+X,"['X3', 'X5']",0.663,1,0.437,0.079,15,67,100
3+X,"['X3', 'X5']",0.693,5,0.407,0.102,15,70,100
3+Y,"['Y2', 'Y3', 'Y5', 'Y6', 'Y7']",0.109,0.001,0.02,0.01,15,11,100
3+Y,"['Y1', 'Y3', 'Y4', 'Y5', 'Y6']",0.307,0.05,0.142,0.093,15,31,100
3+Y,"['Y1', 'Y3', 'Y5', 'Y6']",0.317,0.1,0.15,0.093,15,32,100
3+Y,"['Y1', 'Y3', 'Y4', 'Y5', 'Y6']",0.356,0.5,0.163,0.092,15,36,100
3+Y,"['Y1', 'Y2', 'Y3', 'Y4', 'Y5', 'Y6']",0.337,1,0.154,0.077,15,34,100
3+Y,"['Y1', 'Y2', 'Y3', 'Y4', 'Y5', 'Y6']",0.307,5,0.148,0.07,15,31,100
4+X,[],0.0,0.001,nan,nan,15,0,100
4+X,[],0.0,0.05,nan,nan,15,0,100
4+X,[],0.0,0.1,nan,nan,15,0,100
4+X,[],0.0,0.5,nan,nan,15,0,100
4+X,[],0.0,1,nan,nan,15,0,100
4+X,['X4'],0.01,5,0.104,0.0,15,1,100
4+Y,"['Y3', 'Y5']",1.0,0.001,0.01,0.0,15,101,100
4+Y,['Y1'],1.0,0.05,0.023,0.002,15,101,100
4+Y,['Y1'],1.0,0.1,0.046,0.002,15,101,100
4+Y,['Y2'],1.0,0.5,0.089,0.001,15,101,100
4+Y,['Y2'],1.0,1,0.097,0.001,15,101,100
4+Y,['Y2'],0.99,5,0.104,0.001,15,100,100
5+X,[],0.0,0.001,nan,nan,15,0,100
5+X,[],0.0,0.05,nan,nan,15,0,100
5+X,[],0.0,0.1,nan,nan,15,0,100
5+X,[],0.0,0.5,nan,nan,15,0,100
5+X,[],0.0,1,nan,nan,15,0,100
5+X,"['X2', 'X6']",1.0,5,0.103,0.001,15,101,100
5+Y,"['Y3', 'Y4']",1.0,0.001,0.007,0.0,15,101,100
5+Y,"['Y1', 'Y2']",1.0,0.05,0.024,0.001,15,101,100
5+Y,"['Y1', 'Y2']",1.0,0.1,0.048,0.001,15,101,100
5+Y,['Y2'],1.0,0.5,0.091,0.001,15,101,100
5+Y,['Y2'],1.0,1,0.101,0.001,15,101,100
5+Y,[],0.0,5,nan,nan,15,0,100
6+X,[],0.0,0.001,nan,nan,15,0,100
6+X,[],0.0,0.05,nan,nan,15,0,100
6+X,[],0.0,0.1,nan,nan,15,0,100
6+X,[],0.0,0.5,nan,nan,15,0,100
6+X,[],0.0,1,nan,nan,15,0,100
6+X,['X1'],0.099,5,0.11,0.0,15,10,100
6+Y,"['Y3', 'Y4']",1.0,0.001,0.007,0.0,15,101,100
6+Y,"['Y1', 'Y3']",1.0,0.05,0.021,0.002,15,101,100
6+Y,"['Y1', 'Y3']",1.0,0.1,0.045,0.002,15,101,100
6+Y,['Y2'],1.0,0.5,0.089,0.003,15,101,100
6+Y,['Y2'],1.0,1,0.098,0.003,15,101,100
6+Y,['Y2'],0.901,5,0.105,0.002,15,91,100
7+X,"['X2', 'X3', 'X6', 'X7']",0.911,0.001,0.02,0.012,15,92,100
7+X,"['X2', 'X7']",0.792,0.05,0.129,0.065,15,80,100
7+X,"['X2', 'X7']",0.782,0.1,0.192,0.056,15,79,100
7+X,"['X2', 'X7']",0.743,0.5,0.289,0.107,15,75,100
7+X,"['X2', 'X7']",0.762,1,0.285,0.127,15,77,100
7+X,"['X2', 'X6', 'X7']",0.901,5,0.251,0.138,15,91,100
7+Y,"['Y1', 'Y2', 'Y6', 'Y7']",0.089,0.001,0.024,0.015,15,9,100
7+Y,"['Y1', 'Y2', 'Y4', 'Y6', 'Y7']",0.208,0.05,0.093,0.053,15,21,100
7+Y,"['Y0', 'Y1', 'Y2', 'Y3', 'Y4', 'Y7']",0.218,0.1,0.098,0.05,15,22,100
7+Y,"['Y0', 'Y1', 'Y2', 'Y3', 'Y7']",0.257,0.5,0.121,0.056,15,26,100
7+Y,"['Y0', 'Y1', 'Y2', 'Y3', 'Y7']",0.238,1,0.122,0.044,15,24,100
7+Y,"['Y0', 'Y2', 'Y3']",0.099,5,0.108,0.01,15,10,100
8+X,[],0.0,0.001,nan,nan,15,0,100
8+X,[],0.0,0.05,nan,nan,15,0,100
8+X,[],0.0,0.1,nan,nan,15,0,100
8+X,[],0.0,0.5,nan,nan,15,0,100
8+X,[],0.0,1,nan,nan,15,0,100
