VAEConv2d_v2_CausalDsprite_ber_shape2_scale5_ld10
latent_dim + gt_factor,unique_classes,ratio,alpha,mmds_mean,std_mmds,latent_dim_range,count,n_samples
8+X,"['X4', 'X5']",0.426,5,0.111,0.002,15,43,100
8+Y,"['Y3', 'Y5']",1.0,0.001,0.008,0.0,15,101,100
8+Y,"['Y1', 'Y3']",1.0,0.05,0.026,0.001,15,101,100
8+Y,"['Y1', 'Y3', 'Y5']",1.0,0.1,0.052,0.001,15,101,100
8+Y,['Y5'],1.0,0.5,0.094,0.002,15,101,100
8+Y,['Y5'],1.0,1,0.102,0.002,15,101,100
8+Y,"['Y2', 'Y5']",0.574,5,0.109,0.002,15,58,100
9+X,[],0.0,0.001,nan,nan,15,0,100
9+X,[],0.0,0.05,nan,nan,15,0,100
9+X,[],0.0,0.1,nan,nan,15,0,100
9+X,[],0.0,0.5,nan,nan,15,0,100
9+X,[],0.0,1,nan,nan,15,0,100
9+X,['X6'],1.0,5,0.091,0.001,15,101,100
9+Y,"['Y5', 'Y6']",1.0,0.001,0.007,0.0,15,101,100
9+Y,"['Y1', 'Y6']",1.0,0.05,0.023,0.0,15,101,100
9+Y,['Y1'],1.0,0.1,0.045,0.0,15,101,100
9+Y,['Y1'],1.0,0.5,0.09,0.001,15,101,100
9+Y,"['Y1', 'Y2']",1.0,1,0.101,0.001,15,101,100
9+Y,[],0.0,5,nan,nan,15,0,100

Per dimension per factor winner
0+X,0.167
0+Y,0.833
1+X,0.896
1+Y,0.104
2+X,0.041
2+Y,0.959
3+X,0.711
3+Y,0.289
4+X,0.002
4+Y,0.998
5+X,0.167
5+Y,0.833
6+X,0.016
6+Y,0.983
7+X,0.815
7+Y,0.185
8+X,0.071
8+Y,0.929
9+X,0.167
9+Y,0.833

Per dimension winner
0+Y,0.833
1+X,0.896
2+Y,0.959
3+X,0.711
4+Y,0.998
5+Y,0.833
6+Y,0.983
7+X,0.815
8+Y,0.929
9+Y,0.833
